absolute position|A location specified using an agreed reference system.|On a classroom map, the reading corner is four units east and one unit north of the origin. Give its location.|P=(4,1)|The ordered pair identifies one location without comparing it with another object.
absolute value|How far a number is from zero, regardless of direction.|A submarine is at −7 meters relative to sea level. How far is it from sea level?|\lvert-7\rvert=7|Its distance is 7 meters. Distance does not carry a negative sign.
acute angle|An angle between 0° and 90°.|A folding stand opens to 38°. Classify its angle.|0^\circ<38^\circ<90^\circ|The opening is smaller than a right angle, so it is acute.
acute triangle|A triangle with all three angles smaller than 90°.|A triangular sign has angles 48°, 61°, and 71°. Classify it.|48^\circ+61^\circ+71^\circ=180^\circ|Every angle is acute, so the triangle is acute.
addend|One of the quantities being added.|Mina walks 8 blocks before lunch and 6 afterward. Identify the addends.|8+6=14|The addends are 8 and 6; the total is 14 blocks.
addition|Combining quantities to find their total.|A club has 13 returning members and 9 new members. How many members are there?|13+9=22|Combining the two groups gives 22 members.
Addition Property of Equality|Adding the same quantity to both sides preserves an equation.|A number minus 6 equals 11. Add 6 to both sides.|x-6+6=11+6\quad\Rightarrow\quad x=17|Both sides increase equally, so the equation stays balanced.
additive inverse|The number that makes a sum of zero when added to a given number.|A game score changes by −9. What change cancels it?|-9+9=0|The additive inverse of −9 is 9.
adjacent leg|In a right triangle, the non-hypotenuse side touching a chosen acute angle.|For angle A, a right triangle has an adjacent leg of 12 and a hypotenuse of 13.|\cos A=\frac{12}{13}|The side of length 12 touches angle A and is not the hypotenuse.
algebra|Mathematics that uses symbols to describe quantities and relationships.|Each notebook costs 4 dollars. Write the price of n notebooks.|C=4n|The variable n lets one rule describe many purchases.
algebraic expression|A combination of variables, numbers, and operations that represents a quantity.|A bike rental costs 6 dollars plus 3 dollars per hour. Represent the cost for h hours.|6+3h|This expression gives a cost but does not itself state an equality.
alternate angles|Angles on opposite sides of a transversal; alternate interior angles lie between the crossed lines.|Two parallel lines have alternate interior angles labeled 64° and x. Find x.|x=64^\circ|Parallel lines make alternate interior angles equal.
angle|The opening between two rays with a common endpoint.|Two rays OA and OB meet at O. Name the angle.|\angle AOB|The middle letter names the vertex, O.
angle bisector|A ray that divides an angle into two equal angles.|A ray bisects a 74° angle. Find each smaller angle.|74^\circ\div2=37^\circ|Both new angles measure 37°.
angle of rotation|The amount a figure turns around a fixed point.|A pointer moves one quarter of a full turn counterclockwise.|\frac14\cdot360^\circ=90^\circ|The angle of rotation is 90° counterclockwise.
Angle-Side-Angle (ASA)|Two triangles are congruent when two angles and their included side match.|Two triangles each have angles 42° and 68° with a 7 cm side between them.|\triangle ABC\cong\triangle DEF|Matching two angles and the side between them establishes ASA congruence.
area|The size of a flat region, measured in square units.|A rectangular mural is 7 meters wide and 3 meters high. Find its area.|A=7\cdot3=21\text{ m}^2|Seven columns of three unit squares cover the mural.
arithmetic sequence|A sequence with the same difference between consecutive terms.|A reading plan has daily totals 6, 11, 16, 21. What comes next?|a_n=6+5(n-1)\quad a_5=26|Add 5 each time; the next total is 26.
arrangement|An ordering or placement of objects.|Three books labeled A, B, and C are placed on a shelf. Give two different arrangements.|ABC\ne BAC|Switching A and B changes the arrangement even though the books are the same.
Associative Property of Addition|Regrouping addends leaves their total unchanged.|Group the convenient pair when adding 18, 2, and 7.|(18+2)+7=18+(2+7)=27|The grouping changes, but the order and total stay the same.
Associative Property of Multiplication|Regrouping factors leaves their product unchanged.|Compute the number of stickers in 4 packs of 5 sheets of 3 stickers.|(4\cdot5)\cdot3=4\cdot(5\cdot3)=60|Either grouping counts the same 60 stickers.
average|A value used to summarize a data set; in many contexts it means the arithmetic mean.|A student reads 12, 18, and 24 pages on three days. Find the mean daily amount.|\frac{12+18+24}{3}=18|The arithmetic average is 18 pages per day.
axes|The reference lines used to organize a coordinate system.|A point is at (−2, 5). Identify the horizontal and vertical references.|x=-2,\quad y=5|The x-axis is horizontal and the y-axis is vertical.
